anio,mes,producto,unidad,usd,usd_kg
2013,Enero,Arroz Cáscara,Saca aprox. 200 lb,35.43,0.39
2013,Enero,Arveja Tierna en Vaina,Bulto aprox. 110 lb,16.09,0.32
2013,Enero,Banano Cavendish Enano,Caja aprox. 43 lb,9.25,0.47
2013,Enero,Banano Cavendish Spot,Caja aprox. 43 lb,5.43,0.28
2013,Enero,Brócoli,Kilogramo,0.25,0.25
2013,Enero,Cacao CCN51 Almendra Seca,Quintal,86.76,1.91
2013,Enero,Cacao Fino de Aroma Almendra Seca,Quintal,89.09,1.96
2013,Enero,Café Arábigo Bola,Quintal,126.0,2.77
2013,Enero,Café Robusta Cereza,Quintal,16.97,0.37
2013,Enero,Caña de Azúcar Tallo Fresco,Tonelada Métrica,29.0,0.03
2013,Enero,Cebolla Colorada Seca y Limpia de Primera,Quintal,10.0,0.22
2013,Enero,Cerdo en Pie para Faenamiento,Libra,0.86,1.91
2013,Enero,Fréjol Rojo Tierno en Vaina,Bulto aprox. 110 lb,29.25,0.59
2013,Enero,Frutilla,Caja de 10 lb,4.17,0.92
2013,Enero,Huevo Mediano,Cubeta de 30 huevos,2.4,
2013,Enero,Leche Cruda,Litro,0.39,
2013,Enero,Limón,Saco aprox. 80 lb,14.0,0.39
2013,Enero,Maíz Duro Seco,Quintal,18.4,0.4
2013,Enero,Maíz Suave Choclo,Bulto aprox. 110 lb,13.5,0.27
2013,Enero,Maracuyá,Kilogramo,0.45,0.45
2013,Enero,Naranjilla Híbrida,Caja aprox. 35 lb,7.23,0.45
2013,Enero,Naranjilla Jugo,Caja aprox. 35 lb,13.0,0.82
2013,Enero,Palma de Aceite,Tonelada Métrica,132.78,0.13
2013,Enero,Palmito,Tallo aprox. 3 lb,0.28,0.21
2013,Enero,Panela en Bloque,Quintal,35.0,0.77
2013,Enero,Panela Granulada,Quintal,40.0,0.88
2013,Enero,Papa Superchola,Quintal,10.82,0.24
2013,Enero,Pimiento,Saco aprox. 80 lb,9.0,0.25
2013,Enero,Piña MD-2,Kilogramo,0.36,0.36
2013,Enero,Piña Nacional,Kilogramo,0.32,0.32
2013,Enero,Pitahaya,Kilogramo,4.0,4.0
2013,Enero,Plátano Barraganete,Racimo aprox. 50 lb,6.82,0.3
2013,Enero,Plátano Barraganete de Exportación,Caja aprox. 50 lb,6.08,0.27
2013,Enero,Pollo en Pie,Libra,0.87,1.92
2013,Enero,Tomate de Árbol,Saco aprox. 80 lb,23.91,0.66
2013,Enero,Tomate Riñón a Campo Abierto,Caja aprox. 35 lb,3.0,0.19
2013,Enero,Tomate Riñón de Invernadero,Caja aprox. 35 lb,9.0,0.57
